Datazone,uptake_measure,uptake_rate,demand_measure,demand_rate,display_year
S01013250,FSM,0.1623931623931624,cilif_age_10_18,0.06837606837606838,2025
S01013250,EMA,0.08695652173913043,cilif_age_16_18,0.13043478260869565,2025
S01013250,CG,0,cilif_age_5_15,0.12883435582822086,2025
S01013250,UC,0.30246913580246915,unemployed_households_with_children,0.06790123456790123,2025
S01013251,FSM,0.2018348623853211,cilif_age_10_18,0.41284403669724773,2023
S01013251,EMA,0,cilif_age_16_18,0.4594594594594595,2023
S01013251,CG,0,cilif_age_5_15,0.3443708609271523,2023
S01013251,FSM,0.2018348623853211,cilif_age_10_18,0.3669724770642202,2025
S01013251,EMA,0.08108108108108109,cilif_age_16_18,0.40540540540540543,2025
S01013251,CG,0.08609271523178808,cilif_age_5_15,0.33112582781456956,2025
S01013251,UC,0.6614173228346457,unemployed_households_with_children,0.2283464566929134,2025
S01013252,FSM,0.20689655172413793,cilif_age_10_18,0.29310344827586204,2023
S01013252,EMA,0,cilif_age_16_18,0.22727272727272727,2023
S01013252,CG,1.0666666666666667,cilif_age_5_15,0.16666666666666666,2023
S01013252,FSM,0.034482758620689655,cilif_age_10_18,0.2413793103448276,2025
S01013252,EMA,0.045454545454545456,cilif_age_16_18,0.3181818181818182,2025
S01013252,CG,0.36666666666666664,cilif_age_5_15,0.15,2025
S01013252,UC,0.44,unemployed_households_with_children,0.04,2025
S01013253,FSM,0.08823529411764706,cilif_age_10_18,0.22058823529411764,2023
S01013253,EMA,0.35294117647058826,cilif_age_16_18,0.29411764705882354,2023
S01013253,CG,0.5376344086021505,cilif_age_5_15,0.17204301075268819,2023
S01013253,FSM,0.19117647058823528,cilif_age_10_18,0.3088235294117647,2025
S01013253,EMA,0.17647058823529413,cilif_age_16_18,0.35294117647058826,2025
S01013253,CG,0.043010752688172046,cilif_age_5_15,0.13978494623655913,2025
S01013253,UC,0.23170731707317074,unemployed_households_with_children,0.04878048780487805,2025
S01013254,FSM,0.37681159420289856,cilif_age_10_18,0.3333333333333333,2023
S01013254,EMA,0.1,cilif_age_16_18,0.4,2023
S01013254,CG,0,cilif_age_5_15,0.2857142857142857,2023
S01013254,FSM,0.3188405797101449,cilif_age_10_18,0.43478260869565216,2025
S01013254,EMA,0,cilif_age_16_18,0.6,2025
S01013254,CG,0.05952380952380952,cilif_age_5_15,0.25,2025
S01013254,UC,0.9090909090909091,unemployed_households_with_children,0.16883116883116883,2025
S01013255,FSM,0.19318181818181818,cilif_age_10_18,0.18181818181818182,2023
S01013255,EMA,0.06666666666666667,cilif_age_16_18,0.16666666666666666,2023
S01013255,CG,0.8541666666666666,cilif_age_5_15,0.13541666666666666,2023
S01013255,FSM,0.10227272727272728,cilif_age_10_18,0.056818181818181816,2025
S01013255,EMA,0,cilif_age_16_18,NA,2025
S01013255,CG,0.5104166666666666,cilif_age_5_15,0.13541666666666666,2025
S01013255,UC,0.5111111111111111,unemployed_households_with_children,0.06666666666666667,2025
S01013256,FSM,0.09523809523809523,cilif_age_10_18,0.16666666666666666,2023
S01013256,EMA,0.12903225806451613,cilif_age_16_18,0.1935483870967742,2023
S01013256,CG,0.5268817204301075,cilif_age_5_15,0.13978494623655913,2023
S01013256,FSM,0.09523809523809523,cilif_age_10_18,0.08333333333333333,2025
S01013256,EMA,0.03225806451612903,cilif_age_16_18,NA,2025
S01013256,CG,0.15053763440860216,cilif_age_5_15,0.07526881720430108,2025
S01013256,UC,0.3595505617977528,unemployed_households_with_children,0.1797752808988764,2025
S01013257,FSM,0,cilif_age_10_18,0.2,2023
S01013257,EMA,0.047619047619047616,cilif_age_16_18,NA,2023
S01013257,CG,0.2537313432835821,cilif_age_5_15,0.08955223880597014,2023
S01013257,FSM,0.21666666666666667,cilif_age_10_18,0.2,2025
S01013257,EMA,0.047619047619047616,cilif_age_16_18,0.23809523809523808,2025
S01013257,CG,0.5522388059701493,cilif_age_5_15,0.11940298507462686,2025
S01013257,UC,0.43333333333333335,unemployed_households_with_children,0.08333333333333333,2025
S01013258,FSM,0.30434782608695654,cilif_age_10_18,0.2028985507246377,2023
S01013258,EMA,0.11764705882352941,cilif_age_16_18,0.29411764705882354,2023
S01013258,CG,0.03529411764705882,cilif_age_5_15,0.10588235294117647,2023
S01013258,FSM,0.2753623188405797,cilif_age_10_18,0.13043478260869565,2025
S01013258,EMA,0.29411764705882354,cilif_age_16_18,NA,2025
S01013258,CG,0.047058823529411764,cilif_age_5_15,0.10588235294117647,2025
S01013258,UC,0.3835616438356164,unemployed_households_with_children,0.0410958904109589,2025
S01013259,FSM,0.358974358974359,cilif_age_10_18,0.358974358974359,2023
S01013259,EMA,0.1724137931034483,cilif_age_16_18,0.3448275862068966,2023
S01013259,CG,0.5784313725490197,cilif_age_5_15,0.30392156862745096,2023
S01013259,FSM,0.3076923076923077,cilif_age_10_18,0.2692307692307692,2025
S01013259,EMA,0,cilif_age_16_18,0.3103448275862069,2025
S01013259,CG,0.9607843137254902,cilif_age_5_15,0.18627450980392157,2025
S01013259,UC,0.5876288659793815,unemployed_households_with_children,0.20618556701030927,2025
S01013260,FSM,0.07476635514018691,cilif_age_10_18,0.18691588785046728,2023
S01013260,EMA,0,cilif_age_16_18,0.2,2023
S01013260,CG,0.22962962962962963,cilif_age_5_15,0.2518518518518518,2023
S01013260,FSM,0.29906542056074764,cilif_age_10_18,0.205607476635514,2025
S01013260,EMA,0.25,cilif_age_16_18,0.225,2025
S01013260,CG,0.2,cilif_age_5_15,0.16296296296296298,2025
S01013260,UC,0.591304347826087,unemployed_households_with_children,0.19130434782608696,2025
S01013261,FSM,0.053763440860215055,cilif_age_10_18,0.6129032258064516,2023
S01013261,EMA,0,cilif_age_16_18,0.5161290322580645,2023
S01013261,CG,0.4909090909090909,cilif_age_5_15,0.5181818181818182,2023
S01013261,FSM,0.08602150537634409,cilif_age_10_18,0.5698924731182796,2025
S01013261,EMA,0.06451612903225806,cilif_age_16_18,0.6451612903225806,2025
S01013261,CG,0.8090909090909091,cilif_age_5_15,0.42727272727272725,2025
S01013261,UC,0.5981308411214953,unemployed_households_with_children,0.1308411214953271,2025
S01013262,FSM,0.7021276595744681,cilif_age_10_18,0.3404255319148936,2023
S01013262,EMA,0.125,cilif_age_16_18,0.5625,2023
S01013262,CG,0.7321428571428571,cilif_age_5_15,0.35714285714285715,2023
S01013262,FSM,0.0425531914893617,cilif_age_10_18,0.46808510638297873,2025
S01013262,EMA,0.0625,cilif_age_16_18,0.4375,2025
S01013262,CG,0.07142857142857142,cilif_age_5_15,0.32142857142857145,2025
S01013262,UC,0.6538461538461539,unemployed_households_with_children,0.1346153846153846,2025
S01013263,FSM,0.2222222222222222,cilif_age_10_18,NA,2023
S01013263,EMA,0,cilif_age_16_18,NA,2023
S01013263,CG,0.13043478260869565,cilif_age_5_15,NA,2023
S01013263,FSM,0.4888888888888889,cilif_age_10_18,NA,2025
S01013263,EMA,0,cilif_age_16_18,NA,2025
S01013263,CG,0.6521739130434783,cilif_age_5_15,NA,2025
S01013263,UC,0.13725490196078433,unemployed_households_with_children,0.0196078431372549,2025
S01013264,FSM,0.028169014084507043,cilif_age_10_18,NA,2023
S01013264,EMA,0,cilif_age_16_18,NA,2023
S01013264,CG,1.375,cilif_age_5_15,NA,2023
S01013264,FSM,0.18309859154929578,cilif_age_10_18,NA,2025
S01013264,EMA,0,cilif_age_16_18,NA,2025
S01013264,CG,0.4861111111111111,cilif_age_5_15,NA,2025
S01013264,UC,NA,unemployed_households_with_children,0.029411764705882353,2025
S01013265,FSM,0.025974025974025976,cilif_age_10_18,NA,2023
S01013265,EMA,0.041666666666666664,cilif_age_16_18,NA,2023
S01013265,CG,0.27472527472527475,cilif_age_5_15,NA,2023
S01013265,FSM,0.36363636363636365,cilif_age_10_18,0.06493506493506493,2025
S01013265,EMA,0.125,cilif_age_16_18,NA,2025
S01013265,CG,0.3956043956043956,cilif_age_5_15,0.06593406593406594,2025
S01013265,UC,0.06578947368421052,unemployed_households_with_children,0.02631578947368421,2025
S01013266,FSM,0.03614457831325301,cilif_age_10_18,NA,2023
S01013266,EMA,0,cilif_age_16_18,NA,2023
S01013266,CG,1.0136986301369864,cilif_age_5_15,NA,2023
S01013266,FSM,0.060240963855421686,cilif_age_10_18,NA,2025
S01013266,EMA,0.07894736842105263,cilif_age_16_18,NA,2025
S01013266,CG,0.0684931506849315,cilif_age_5_15,NA,2025
S01013266,UC,0.16666666666666666,unemployed_households_with_children,0.05555555555555555,2025
S01013267,FSM,0.20754716981132076,cilif_age_10_18,0.18867924528301888,2023
S01013267,EMA,0.05,cilif_age_16_18,0.4,2023
S01013267,CG,0.8305084745762712,cilif_age_5_15,0.2033898305084746,2023
S01013267,FSM,0.05660377358490566,cilif_age_10_18,0.18867924528301888,2025
S01013267,EMA,0.15,cilif_age_16_18,NA,2025
S01013267,CG,0.6610169491525424,cilif_age_5_15,0.1694915254237288,2025
S01013267,UC,0.5344827586206896,unemployed_households_with_children,0.25862068965517243,2025
S01013268,FSM,0.04285714285714286,cilif_age_10_18,0.2571428571428571,2023
S01013268,EMA,0.2777777777777778,cilif_age_16_18,0.2777777777777778,2023
S01013268,CG,1.1923076923076923,cilif_age_5_15,0.14102564102564102,2023
S01013268,FSM,0.04285714285714286,cilif_age_10_18,0.2714285714285714,2025
S01013268,EMA,0.2777777777777778,cilif_age_16_18,0.3333333333333333,2025
S01013268,CG,0.44871794871794873,cilif_age_5_15,0.2692307692307692,2025
S01013268,UC,0.36486486486486486,unemployed_households_with_children,0.02702702702702703,2025
S01013269,FSM,0.022727272727272728,cilif_age_10_18,0.08181818181818182,2023
S01013269,EMA,0.015625,cilif_age_16_18,0.078125,2023
S01013269,CG,0.017605633802816902,cilif_age_5_15,0.07042253521126761,2023
S01013269,FSM,0.17272727272727273,cilif_age_10_18,0.07727272727272727,2025
S01013269,EMA,0.046875,cilif_age_16_18,0.140625,2025
S01013269,CG,0.3626760563380282,cilif_age_5_15,0.0528169014084507,2025
S01013269,UC,0.40808823529411764,unemployed_households_with_children,0.0625,2025
S01013270,FSM,0.01,cilif_age_10_18,NA,2023
S01013270,EMA,0.03125,cilif_age_16_18,NA,2023
S01013270,CG,0.13392857142857142,cilif_age_5_15,NA,2023
S01013270,FSM,0.28,cilif_age_10_18,NA,2025
S01013270,EMA,0.15625,cilif_age_16_18,NA,2025
S01013270,CG,1.2232142857142858,cilif_age_5_15,NA,2025
S01013270,UC,0.050505050505050504,unemployed_households_with_children,0,2025
S01013271,FSM,0.09836065573770492,cilif_age_10_18,NA,2023
S01013271,EMA,0.3333333333333333,cilif_age_16_18,NA,2023
S01013271,CG,0.9375,cilif_age_5_15,NA,2023
S01013271,FSM,0.01639344262295082,cilif_age_10_18,0.09836065573770492,2025
S01013271,EMA,0.06666666666666667,cilif_age_16_18,NA,2025
S01013271,CG,1.546875,cilif_age_5_15,NA,2025
S01013271,UC,NA,unemployed_households_with_children,0,2025
S01013272,FSM,0.07,cilif_age_10_18,NA,2023
S01013272,EMA,0.0425531914893617,cilif_age_16_18,NA,2023
S01013272,CG,0.7395833333333334,cilif_age_5_15,NA,2023
S01013272,FSM,0.13,cilif_age_10_18,NA,2025
S01013272,EMA,0.02127659574468085,cilif_age_16_18,NA,2025
S01013272,CG,0.010416666666666666,cilif_age_5_15,NA,2025
S01013272,UC,NA,unemployed_households_with_children,0.008928571428571428,2025
S01013273,FSM,0.09929078014184398,cilif_age_10_18,0.06382978723404255,2023
S01013273,EMA,0,cilif_age_16_18,0.11764705882352941,2023
S01013273,CG,0.2689655172413793,cilif_age_5_15,0.04827586206896552,2023
S01013273,FSM,0.0425531914893617,cilif_age_10_18,0.03546099290780142,2025
S01013273,EMA,0.0196078431372549,cilif_age_16_18,NA,2025
S01013273,CG,0.006896551724137931,cilif_age_5_15,0.041379310344827586,2025
S01013273,UC,0.0364963503649635,unemployed_households_with_children,0.014598540145985401,2025
S01013274,FSM,0.10344827586206896,cilif_age_10_18,0.10344827586206896,2023
S01013274,EMA,0.125,cilif_age_16_18,0.3125,2023
S01013274,CG,0.8461538461538461,cilif_age_5_15,NA,2023
S01013274,FSM,0.15517241379310345,cilif_age_10_18,0.10344827586206896,2025
S01013274,EMA,0.125,cilif_age_16_18,NA,2025
S01013274,CG,1.0128205128205128,cilif_age_5_15,0.0641025641025641,2025
S01013274,UC,0.08955223880597014,unemployed_households_with_children,0.14925373134328357,2025
S01013275,FSM,0.047619047619047616,cilif_age_10_18,0.10714285714285714,2023
S01013275,EMA,0,cilif_age_16_18,0.2413793103448276,2023
S01013275,CG,0.020833333333333332,cilif_age_5_15,0.14583333333333334,2023
S01013275,FSM,0.023809523809523808,cilif_age_10_18,0.14285714285714285,2025
S01013275,EMA,0.13793103448275862,cilif_age_16_18,0.20689655172413793,2025
S01013275,CG,0.3020833333333333,cilif_age_5_15,0.11458333333333333,2025
S01013275,UC,0.2222222222222222,unemployed_households_with_children,0.027777777777777776,2025
S01013276,FSM,0,cilif_age_10_18,NA,2023
S01013276,EMA,0.4444444444444444,cilif_age_16_18,NA,2023
S01013276,CG,0.6779661016949152,cilif_age_5_15,0.0847457627118644,2023
S01013276,FSM,0.06666666666666667,cilif_age_10_18,NA,2025
S01013276,EMA,0,cilif_age_16_18,NA,2025
S01013276,CG,0.2033898305084746,cilif_age_5_15,NA,2025
S01013276,UC,0.125,unemployed_households_with_children,0.08928571428571429,2025
S01013277,FSM,0.32653061224489793,cilif_age_10_18,0.2857142857142857,2023
S01013277,EMA,0.06060606060606061,cilif_age_16_18,0.24242424242424243,2023
S01013277,CG,0.18487394957983194,cilif_age_5_15,0.29411764705882354,2023
S01013277,FSM,0.2653061224489796,cilif_age_10_18,0.25510204081632654,2025
S01013277,EMA,0,cilif_age_16_18,0.2727272727272727,2025
S01013277,CG,0.6638655462184874,cilif_age_5_15,0.23529411764705882,2025
S01013277,UC,0.5254237288135594,unemployed_households_with_children,0.13559322033898305,2025
S01013278,FSM,0.08080808080808081,cilif_age_10_18,0.30303030303030304,2023
S01013278,EMA,0.07142857142857142,cilif_age_16_18,0.16666666666666666,2023
S01013278,CG,0.30578512396694213,cilif_age_5_15,0.3140495867768595,2023
S01013278,FSM,0.020202020202020204,cilif_age_10_18,0.30303030303030304,2025
S01013278,EMA,0.047619047619047616,cilif_age_16_18,0.3333333333333333,2025
S01013278,CG,0.049586776859504134,cilif_age_5_15,0.2892561983471074,2025
S01013278,UC,0.4434782608695652,unemployed_households_with_children,0.23478260869565218,2025
S01013279,FSM,0.43243243243243246,cilif_age_10_18,0.28378378378378377,2023
S01013279,EMA,0.17857142857142858,cilif_age_16_18,0.25,2023
S01013279,CG,0.023809523809523808,cilif_age_5_15,0.30952380952380953,2023
S01013279,FSM,0.2972972972972973,cilif_age_10_18,0.3108108108108108,2025
S01013279,EMA,0.03571428571428571,cilif_age_16_18,0.4642857142857143,2025
S01013279,CG,0.011904761904761904,cilif_age_5_15,0.27380952380952384,2025
S01013279,UC,0.6710526315789473,unemployed_households_with_children,0.17105263157894737,2025
S01013280,FSM,0.36363636363636365,cilif_age_10_18,0.3246753246753247,2023
S01013280,EMA,0.2692307692307692,cilif_age_16_18,0.34615384615384615,2023
S01013280,CG,0.19791666666666666,cilif_age_5_15,0.22916666666666666,2023
S01013280,FSM,0.15584415584415584,cilif_age_10_18,0.22077922077922077,2025
S01013280,EMA,0.15384615384615385,cilif_age_16_18,0.3076923076923077,2025
S01013280,CG,0.7395833333333334,cilif_age_5_15,0.17708333333333334,2025
S01013280,UC,0.625,unemployed_households_with_children,0.140625,2025
S01013281,FSM,0.417910447761194,cilif_age_10_18,0.417910447761194,2023
S01013281,EMA,0,cilif_age_16_18,0.21739130434782608,2023
S01013281,CG,0.24444444444444444,cilif_age_5_15,0.36666666666666664,2023
S01013281,FSM,0.47761194029850745,cilif_age_10_18,0.29850746268656714,2025
S01013281,EMA,0.21739130434782608,cilif_age_16_18,NA,2025
S01013281,CG,0.8222222222222222,cilif_age_5_15,0.3,2025
S01013281,UC,0.4742268041237113,unemployed_households_with_children,0.12371134020618557,2025
S01013282,FSM,0,cilif_age_10_18,0.25,2023
S01013282,EMA,0.027777777777777776,cilif_age_16_18,0.25,2023
S01013282,CG,0.0234375,cilif_age_5_15,0.3125,2023
S01013282,FSM,0.009259259259259259,cilif_age_10_18,0.2962962962962963,2025
S01013282,EMA,0.027777777777777776,cilif_age_16_18,0.3888888888888889,2025
S01013282,CG,0.6875,cilif_age_5_15,0.3046875,2025
S01013282,UC,0.6846846846846847,unemployed_households_with_children,0.22522522522522523,2025
S01013283,FSM,0.034482758620689655,cilif_age_10_18,0.5057471264367817,2023
S01013283,EMA,0.47368421052631576,cilif_age_16_18,0.6842105263157895,2023
S01013283,CG,0.10948905109489052,cilif_age_5_15,0.36496350364963503,2023
S01013283,FSM,0.14942528735632185,cilif_age_10_18,0.3793103448275862,2025
S01013283,EMA,0.05263157894736842,cilif_age_16_18,0.9473684210526315,2025
S01013283,CG,0.26277372262773724,cilif_age_5_15,0.2846715328467153,2025
S01013283,UC,0.7924528301886793,unemployed_households_with_children,0.19811320754716982,2025
S01013284,FSM,0.20689655172413793,cilif_age_10_18,NA,2023
S01013284,EMA,0,cilif_age_16_18,NA,2023
S01013284,CG,1.7142857142857142,cilif_age_5_15,NA,2023
S01013284,FSM,0,cilif_age_10_18,NA,2025
S01013284,EMA,0.8333333333333334,cilif_age_16_18,NA,2025
S01013284,CG,0.10204081632653061,cilif_age_5_15,0.16326530612244897,2025
S01013284,UC,0.24074074074074073,unemployed_households_with_children,0.037037037037037035,2025
S01013285,FSM,0.044444444444444446,cilif_age_10_18,0.1111111111111111,2023
S01013285,EMA,0.35294117647058826,cilif_age_16_18,NA,2023
S01013285,CG,0.09615384615384616,cilif_age_5_15,0.11538461538461539,2023
S01013285,FSM,0,cilif_age_10_18,0.1111111111111111,2025
S01013285,EMA,0.058823529411764705,cilif_age_16_18,NA,2025
S01013285,CG,0.5384615384615384,cilif_age_5_15,0.11538461538461539,2025
S01013285,UC,0.1935483870967742,unemployed_households_with_children,0.03225806451612903,2025
S01013286,FSM,1.0576923076923077,cilif_age_10_18,0.15384615384615385,2023
S01013286,EMA,0.058823529411764705,cilif_age_16_18,NA,2023
S01013286,CG,0.2982456140350877,cilif_age_5_15,0.14035087719298245,2023
S01013286,FSM,0.6153846153846154,cilif_age_10_18,0.09615384615384616,2025
S01013286,EMA,0.11764705882352941,cilif_age_16_18,0.35294117647058826,2025
S01013286,CG,0.5263157894736842,cilif_age_5_15,0.10526315789473684,2025
S01013286,UC,0.08928571428571429,unemployed_households_with_children,0.017857142857142856,2025
S01013287,FSM,0.24489795918367346,cilif_age_10_18,0.14285714285714285,2023
S01013287,EMA,0.35714285714285715,cilif_age_16_18,NA,2023
S01013287,CG,0.1111111111111111,cilif_age_5_15,NA,2023
S01013287,FSM,0.02040816326530612,cilif_age_10_18,0.14285714285714285,2025
S01013287,EMA,0.35714285714285715,cilif_age_16_18,NA,2025
S01013287,CG,0.047619047619047616,cilif_age_5_15,0.1111111111111111,2025
S01013287,UC,0.08196721311475409,unemployed_households_with_children,0.03278688524590164,2025
S01013288,FSM,0.04285714285714286,cilif_age_10_18,NA,2023
S01013288,EMA,0.041666666666666664,cilif_age_16_18,NA,2023
S01013288,CG,0.4,cilif_age_5_15,NA,2023
S01013288,FSM,0.2714285714285714,cilif_age_10_18,NA,2025
S01013288,EMA,0.08333333333333333,cilif_age_16_18,NA,2025
S01013288,CG,0.05714285714285714,cilif_age_5_15,0.08571428571428572,2025
S01013288,UC,0.26865671641791045,unemployed_households_with_children,0.04477611940298507,2025
S01013289,FSM,0.1871345029239766,cilif_age_10_18,NA,2023
S01013289,EMA,0.025,cilif_age_16_18,NA,2023
S01013289,CG,0.0211864406779661,cilif_age_5_15,0.029661016949152543,2023
S01013289,FSM,0.16374269005847952,cilif_age_10_18,0.05263157894736842,2025
S01013289,EMA,0,cilif_age_16_18,0.15,2025
S01013289,CG,0.21610169491525424,cilif_age_5_15,0.025423728813559324,2025
S01013289,UC,0.1813186813186813,unemployed_households_with_children,0.016483516483516484,2025
S01013290,FSM,0.3047619047619048,cilif_age_10_18,NA,2023
S01013290,EMA,0.13333333333333333,cilif_age_16_18,NA,2023
S01013290,CG,0.1796875,cilif_age_5_15,0.0546875,2023
S01013290,FSM,0.09523809523809523,cilif_age_10_18,NA,2025
S01013290,EMA,0.2,cilif_age_16_18,NA,2025
S01013290,CG,0.0625,cilif_age_5_15,0.0546875,2025
S01013290,UC,0.14782608695652175,unemployed_households_with_children,0.043478260869565216,2025
S01013291,FSM,0.2413793103448276,cilif_age_10_18,0.10344827586206896,2023
S01013291,EMA,0.2222222222222222,cilif_age_16_18,0.2222222222222222,2023
S01013291,CG,0.8118811881188119,cilif_age_5_15,0.12871287128712872,2023
S01013291,FSM,0.09195402298850575,cilif_age_10_18,NA,2025
S01013291,EMA,0.07407407407407407,cilif_age_16_18,NA,2025
S01013291,CG,0.5148514851485149,cilif_age_5_15,0.0594059405940594,2025
S01013291,UC,0.16304347826086957,unemployed_households_with_children,0.05434782608695652,2025
S01013292,FSM,0.057971014492753624,cilif_age_10_18,0.036231884057971016,2023
S01013292,EMA,0,cilif_age_16_18,NA,2023
S01013292,CG,0.12322274881516587,cilif_age_5_15,0.04739336492890995,2023
S01013292,FSM,0.007246376811594203,cilif_age_10_18,0.06521739130434782,2025
S01013292,EMA,0,cilif_age_16_18,NA,2025
S01013292,CG,0.06635071090047394,cilif_age_5_15,0.07582938388625593,2025
S01013292,UC,0.3317972350230415,unemployed_households_with_children,0.03225806451612903,2025
S01013293,FSM,0.05263157894736842,cilif_age_10_18,0.2631578947368421,2023
S01013293,EMA,0.5,cilif_age_16_18,0.5,2023
S01013293,CG,0.038461538461538464,cilif_age_5_15,0.17307692307692307,2023
S01013293,FSM,0.5789473684210527,cilif_age_10_18,0.13157894736842105,2025
S01013293,EMA,0.75,cilif_age_16_18,0.5,2025
S01013293,CG,0.15384615384615385,cilif_age_5_15,0.09615384615384616,2025
S01013293,UC,0.12280701754385964,unemployed_households_with_children,0.05263157894736842,2025
S01013294,FSM,0.09615384615384616,cilif_age_10_18,0.23076923076923078,2023
S01013294,EMA,0,cilif_age_16_18,NA,2023
S01013294,CG,0.75,cilif_age_5_15,0.28846153846153844,2023
S01013294,FSM,0.057692307692307696,cilif_age_10_18,0.21153846153846154,2025
S01013294,EMA,0.10526315789473684,cilif_age_16_18,NA,2025
S01013294,CG,1.7115384615384615,cilif_age_5_15,0.28846153846153844,2025
S01013294,UC,0.5961538461538461,unemployed_households_with_children,0.15384615384615385,2025
S01013295,FSM,0.4074074074074074,cilif_age_10_18,0.18518518518518517,2023
S01013295,EMA,0.18181818181818182,cilif_age_16_18,NA,2023
S01013295,CG,1.25,cilif_age_5_15,0.25,2023
S01013295,FSM,0.2962962962962963,cilif_age_10_18,0.2962962962962963,2025
S01013295,EMA,0.45454545454545453,cilif_age_16_18,0.45454545454545453,2025
S01013295,CG,0.1,cilif_age_5_15,0.15,2025
S01013295,UC,0.25925925925925924,unemployed_households_with_children,0.09259259259259259,2025
S01013296,FSM,0,cilif_age_10_18,0.25,2023
S01013296,EMA,0.09090909090909091,cilif_age_16_18,0.22727272727272727,2023
S01013296,CG,0.06666666666666667,cilif_age_5_15,0.28,2023
S01013296,FSM,0.3125,cilif_age_10_18,0.21875,2025
S01013296,EMA,0.045454545454545456,cilif_age_16_18,0.3181818181818182,2025
S01013296,CG,1,cilif_age_5_15,0.25333333333333335,2025
S01013296,UC,0.8166666666666667,unemployed_households_with_children,0.18333333333333332,2025
S01013297,FSM,0.09259259259259259,cilif_age_10_18,0.2962962962962963,2023
S01013297,EMA,0,cilif_age_16_18,0.3157894736842105,2023
